store_name,place,range_money,max_money,star_score_re,posi_nega_score_re,satisfy_score_re,insta_score_re,calm_score_re,service_score_re,picture_url,link_url
ハート・ストリングス,中州,"￥5,000～￥5,999",6000,4.35,4.646401292,2.583516484,0.871271586,2.538461538,2.038461538,https://tblg.k-img.com/restaurant/images/Rvw/174268/640x640_rect_6440ec038bf5375c0a0b54319d8858c6.jpg,https://tabelog.com/fukuoka/A4001/A400102/40000521/
せいもん払い,中州,"￥6,000～￥7,999",8000,3.8,4.436089799,2.562677305,0.866261398,1.425531915,2.308510638,https://tblg.k-img.com/restaurant/images/Rvw/216005/640x640_rect_7ab3569b370a39e9d00f73dd2599b6b5.jpg,https://tabelog.com/fukuoka/A4001/A400102/40000029/
やまちゃん 中洲店,中州,"￥1,000～￥1,999",2000,3.35,4.049385489,1.765053763,0.714285714,1.107526882,0.930107527,https://tblg.k-img.com/restaurant/images/Rvw/90836/640x640_rect_90836310.jpg,https://tabelog.com/fukuoka/A4001/A400102/40029379/
宝雲亭,中州,"￥2,000～￥2,999",3000,3.3,3.732842492,2.34675,0.714285714,1.1,1.1,https://tblg.k-img.com/restaurant/images/Rvw/225171/640x640_rect_527fee8105b328d55af5ee9e1fdde373.jpg,https://tabelog.com/fukuoka/A4001/A400102/40000125/
第8八千代丸,中州,"￥8,000～￥9,999",10000,3.15,4.824104024,1.575231481,0.714285714,1.069444444,0.5,https://tblg.k-img.com/restaurant/images/Rvw/268396/640x640_rect_ee61ae60085ee9e7d92688fddc812040.jpg,https://tabelog.com/fukuoka/A4001/A400102/40054785/
地鶏屋 亜門,中州,"￥6,000～￥7,999",8000,3.1,4.415253683,1.696401515,1.850649351,1.284090909,1.522727273,https://tblg.k-img.com/restaurant/images/Rvw/269438/640x640_rect_d331e5d09688bfa94e3a2786a2e24e14.jpg,https://tabelog.com/fukuoka/A4001/A400102/40025366/
博多中洲 ぢどり屋 中洲本店,中州,"￥3,000～￥3,999",4000,3.05,4.823008867,1.795289855,0.714285714,1.108695652,0.5,https://tblg.k-img.com/restaurant/images/Rvw/268925/640x640_rect_f09c6a063621348fb9ea69ff2729f78c.jpg,https://tabelog.com/fukuoka/A4001/A400102/40048917/
つきよし,中州,"￥2,000～￥2,999",3000,2.9,4.25169868,2.899865591,0.714285714,1.241935484,1.629032258,https://tblg.k-img.com/restaurant/images/Rvw/7294/640x640_rect_7294727.jpg,https://tabelog.com/fukuoka/A4001/A400102/40006579/
ふじけん　 中洲店,中州,"￥8,000～￥9,999",10000,2.85,4.019023952,1.557587065,0.714285714,1,0.649253731,https://tblg.k-img.com/restaurant/images/Rvw/244704/640x640_rect_c76d3b4c5d51ece661a03423d540ca4f.jpg,https://tabelog.com/fukuoka/A4001/A400102/40007038/
魚喜,中州,"￥5,000～￥5,999",6000,2.85,2.845714736,1.488541667,1.224489796,1.089285714,1.214285714,https://tblg.k-img.com/restaurant/images/Rvw/255520/640x640_rect_0ec0bb8ee4069b59968a2e83ccbafa49.jpg,https://tabelog.com/fukuoka/A4001/A400102/40064905/
